"filename", "language", "Properties", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "XML", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\CD4\bio-nocode-platform\src\components\engine\PageRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 7, 88
"c:\Users\CD4\bio-nocode-platform\src\components\runner\AppPreview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 11, 23, 320
"c:\Users\CD4\bio-nocode-platform\src\components\runner\ChartPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 1, 11, 143
"c:\Users\CD4\bio-nocode-platform\src\components\runner\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 137, 0, 0, 2, 18, 157
"c:\Users\CD4\bio-nocode-platform\src\components\runner\FormPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\CD4\bio-nocode-platform\src\components\runner\FormRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 1, 17, 170
"c:\Users\CD4\bio-nocode-platform\src\components\runner\OverviewPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 3, 7, 129
"c:\Users\CD4\bio-nocode-platform\src\components\runner\QueryBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 1, 16, 128
"c:\Users\CD4\bio-nocode-platform\src\components\runner\TablePanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\ChartView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\DataForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\DataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 5, 55
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\FileUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 2, 30
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 2, 12, 97
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\RichTextEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 2, 7, 68
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\SearchBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 4, 29
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\StatsCards.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 8, 83
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\Timeline.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\CD4\bio-nocode-platform\src\components\widgets\types.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 39
"c:\Users\CD4\bio-nocode-platform\src\constants\branding.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\CD4\bio-nocode-platform\src\constants\quickPrompts.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 30
"c:\Users\CD4\bio-nocode-platform\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\CD4\bio-nocode-platform\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 3, 37
"c:\Users\CD4\bio-nocode-platform\src\pages\AppBuilderPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 486, 0, 0, 1, 49, 536
"c:\Users\CD4\bio-nocode-platform\src\pages\AppRunnerPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 411, 0, 0, 2, 43, 456
"c:\Users\CD4\bio-nocode-platform\src\pages\AuthPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 7, 115
"c:\Users\CD4\bio-nocode-platform\src\pages\HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 289, 0, 0, 3, 22, 314
"c:\Users\CD4\bio-nocode-platform\src\pages\SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 10, 105
"c:\Users\CD4\bio-nocode-platform\src\router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 6, 75
"c:\Users\CD4\bio-nocode-platform\src\services\appConfigWarnings.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 36
"c:\Users\CD4\bio-nocode-platform\src\services\db\appRepo.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 101
"c:\Users\CD4\bio-nocode-platform\src\services\db\db.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 50
"c:\Users\CD4\bio-nocode-platform\src\services\db\recordRepo.ts", "TypeScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 88
"c:\Users\CD4\bio-nocode-platform\src\services\db\userRepo.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"c:\Users\CD4\bio-nocode-platform\src\services\llm\appGenerator.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 58
"c:\Users\CD4\bio-nocode-platform\src\services\llm\llmClient.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\CD4\bio-nocode-platform\src\services\llm\prompts.ts", "TypeScript", 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 11, 71, 435
"c:\Users\CD4\bio-nocode-platform\src\services\llm\validatePartialAppConfig.ts", "TypeScript", 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 194
"c:\Users\CD4\bio-nocode-platform\src\stores\authStore.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\CD4\bio-nocode-platform\src\stores\builderStore.ts", "TypeScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 77
"c:\Users\CD4\bio-nocode-platform\src\stores\settingsStore.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\CD4\bio-nocode-platform\src\types\AppConfig.ts", "TypeScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 21, 31, 181
"c:\Users\CD4\bio-nocode-platform\src\types\chat.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\CD4\bio-nocode-platform\src\types\user.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\CD4\bio-nocode-platform\src\utils\exportReactProject.ts", "TypeScript", 0, 833, 0, 0, 0, 0, 0, 0, 0, 0, 18, 103, 954
"c:\Users\CD4\bio-nocode-platform\src\vite-env.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 13
"c:\Users\CD4\bio-nocode-platform\tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\CD4\bio-nocode-platform\tsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\CD4\bio-nocode-platform\tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\CD4\bio-nocode-platform\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\CD4\bio-nocode-platform\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1, 2487, 9540, 7, 159, 53, 25, 4642, 0, 13, 198, 979, 18104
